"Title","Categories: Sub","ASIN"
"Acejoz 200Pcs Silver Charms for Jewelry Making and Bracelets, Wholesale Bulk Assorted Jewelry Making Charms Mixed Tibetan Earring Charms for DIY Necklace Bracelet Jewelry Making and Crafting","Charms","B0BMTM3JPD"
"Dark Green Ribbon, 60 Yards 1 1/2 Inch Emerald Green Satin Ribbon for Gift Wrapping Crafts Flower Bouquet Wedding Valentine's Day Decorations","Ribbons","B0D97BSJPF"
"American Soy Organics- 1 lb of Freedom Soy Wax Beads for Candle Making – Microwavable Soy Wax Beads – Premium Soy Candle Making Supplies","Wax","B0B4F36PQB"
"Elastic String for Bracelets, 1mm x 330 Feet Sturdy Rainbow Elastic Cord for Jewelry Making, Necklaces, Beading and Crafts","Beading Cords & Threads","B0BZY33R4F"
"BOSOBO Paint Brushes Set, 6 Pack 60 Pcs Round Pointed Tip Paintbrushes Nylon Hair Artist Acrylic Paint Brushes for Acrylic Oil Watercolor, Face Nail Art, Miniature Detailing & Rock Painting, White","Paintbrush Sets","B0BQ71714K"
"Purple Valentines Wrapping Paper, 15""x450"" Mother's Day Wrapping Paper Roll, Solid Color Art Craft Decorative Paper for Birthday Gift Wrap, Baby Shower, Christmas Bouquet Flower Bulletin Board Paper","Decorative Paper","B0DFTGFKS9"
"LEOBRO Silicone Mat, Silicone Mats for Crafts, 2 Pack Silicone Mat for Jewelry Resin Molds, 11.69"" x 8.26"" Silicone Mats for Epoxy Resin, Resin Molds, DIY Art Crafts, Dark Gray & Black Silicone Mat","Jewelry Casting Supplies","B0B8YWHP1Q"
"ARTISTRO Dual Tip Acrylic Paint Markers - Easy for All Ages & Levels Acrylic Paint Pens for Fabric, Rocks, Paper, Wood, Canvas, Glass, DIY (Dual Tip Brush + Fine, 12)","Pens & Markers","B0CXHTK2LH"
"CornerBorder Punch , Scrapbook Corner Punch ,Straight Line Lever Embossing Craft Punch for Paper Crafting Scrapbooking Cards Decorative Paper Cutter Punch,DIY Kids Handmade Art Hole Punch (Straight","Punches","B09BVV4SXL"
"Beadsland Hotfix Rhinestones, 288pcs Crystal Rhinestones for Crafts Clothes DIY Decoration, Green Volcano, SS34, 7.0-7.3mm","Rhinestones & Sequins","B0CQ3N5L39"
